type,length_of_arr,no_compares,no_swaps,time
radix_base_10,100,1000,0,0.0010044574737548828
radix_base_10,100,1000,0,0.0009477138519287109
radix_base_10,100,1000,0,0.000946044921875
radix_base_10,100,1000,0,0.0009450912475585938
radix_base_10,100,1000,0,0.0009469985961914062
radix_base_10,100,1000,0,0.0009438991546630859
radix_base_10,100,1000,0,0.0009396076202392578
radix_base_10,100,1000,0,0.0009374618530273438
radix_base_10,100,1000,0,0.0009756088256835938
radix_base_10,100,1000,0,0.000942230224609375
radix_base_10,100,1000,0,0.00093841552734375
radix_base_10,100,1000,0,0.0014071464538574219
radix_base_10,100,1000,0,0.0009810924530029297
radix_base_10,100,1000,0,0.0011539459228515625
radix_base_10,100,1000,0,0.0009677410125732422
radix_base_10,100,1000,0,0.0010275840759277344
radix_base_10,100,1000,0,0.0009582042694091797
radix_base_10,100,1000,0,0.0010173320770263672
radix_base_10,100,1000,0,0.0009851455688476562
radix_base_10,100,1000,0,0.0009970664978027344
radix_base_10,200,2000,0,0.001781463623046875
radix_base_10,200,2000,0,0.0018002986907958984
radix_base_10,200,2000,0,0.0018324851989746094
radix_base_10,200,2000,0,0.002164125442504883
radix_base_10,200,2000,0,0.0018050670623779297
radix_base_10,200,2000,0,0.001802206039428711
radix_base_10,200,2000,0,0.0018093585968017578
radix_base_10,200,2000,0,0.0017802715301513672
radix_base_10,200,2000,0,0.001798391342163086
radix_base_10,200,2000,0,0.0017986297607421875
radix_base_10,200,2000,0,0.001794576644897461
radix_base_10,200,2000,0,0.0017857551574707031
radix_base_10,200,2000,0,0.0017781257629394531
radix_base_10,200,2000,0,0.002069711685180664
radix_base_10,200,2000,0,0.0018305778503417969
radix_base_10,200,2000,0,0.001806497573852539
radix_base_10,200,2000,0,0.0017940998077392578
radix_base_10,200,2000,0,0.001811981201171875
radix_base_10,200,2000,0,0.0017783641815185547
radix_base_10,200,2000,0,0.0021047592163085938
radix_base_10,300,3000,0,0.0027081966400146484
radix_base_10,300,3000,0,0.0026886463165283203
radix_base_10,300,3000,0,0.002733945846557617
radix_base_10,300,3000,0,0.002719879150390625
radix_base_10,300,3000,0,0.002674102783203125
radix_base_10,300,3000,0,0.002685546875
radix_base_10,300,3000,0,0.0026869773864746094
radix_base_10,300,3000,0,0.002740144729614258
radix_base_10,300,3000,0,0.00276947021484375
radix_base_10,300,3000,0,0.002688884735107422
radix_base_10,300,3000,0,0.0027611255645751953
radix_base_10,300,3000,0,0.0027189254760742188
radix_base_10,300,3000,0,0.002653837203979492
radix_base_10,300,3000,0,0.0027141571044921875
radix_base_10,300,3000,0,0.002712249755859375
radix_base_10,300,3000,0,0.0026807785034179688
radix_base_10,300,3000,0,0.0026645660400390625
radix_base_10,300,3000,0,0.002696514129638672
radix_base_10,300,3000,0,0.0026688575744628906
radix_base_10,300,3000,0,0.0027008056640625
radix_base_10,400,4000,0,0.0037200450897216797
radix_base_10,400,4000,0,0.004018306732177734
radix_base_10,400,4000,0,0.003668069839477539
radix_base_10,400,4000,0,0.00372314453125
radix_base_10,400,4000,0,0.0036535263061523438
radix_base_10,400,4000,0,0.003745555877685547
radix_base_10,400,4000,0,0.003922462463378906
radix_base_10,400,4000,0,0.0036110877990722656
radix_base_10,400,4000,0,0.003714323043823242
radix_base_10,400,4000,0,0.0037741661071777344
radix_base_10,400,4000,0,0.003731250762939453
radix_base_10,400,4000,0,0.003641366958618164
radix_base_10,400,4000,0,0.003633260726928711
radix_base_10,400,4000,0,0.0036542415618896484
radix_base_10,400,4000,0,0.0036306381225585938
radix_base_10,400,4000,0,0.003611326217651367
radix_base_10,400,4000,0,0.0039119720458984375
radix_base_10,400,4000,0,0.004221677780151367
radix_base_10,400,4000,0,0.0038750171661376953
radix_base_10,400,4000,0,0.0039577484130859375
radix_base_10,500,5000,0,0.005462169647216797
radix_base_10,500,5000,0,0.004655361175537109
radix_base_10,500,5000,0,0.004523038864135742
radix_base_10,500,5000,0,0.004593849182128906
radix_base_10,500,5000,0,0.004724025726318359
radix_base_10,500,5000,0,0.0046231746673583984
radix_base_10,500,5000,0,0.0045795440673828125
radix_base_10,500,5000,0,0.0046503543853759766
radix_base_10,500,5000,0,0.004553556442260742
radix_base_10,500,5000,0,0.004543304443359375
radix_base_10,500,5000,0,0.0045969486236572266
radix_base_10,500,5000,0,0.004708528518676758
radix_base_10,500,5000,0,0.004528999328613281
