type,length_of_arr,no_compares,no_swaps,time
dual_quick,9600,84333,127785,0.15479660034179688
hybrid,9600,137579,135802,0.18616962432861328
insert,9600,23091163,23091153,26.7422776222229
merge,9600,122291,115034,0.19701600074768066
quick,9600,90156,163512,0.15723443031311035
dual_quick,9600,85517,134137,0.1587390899658203
hybrid,9600,137720,135904,0.18883800506591797
insert,9700,23393290,23393276,26.717626810073853
merge,9700,123687,116378,0.1957869529724121
quick,9700,79563,148412,0.13936591148376465
dual_quick,9700,78298,129532,0.15128827095031738
hybrid,9700,139409,137657,0.18659758567810059
insert,9700,23469568,23469557,27.39421772956848
merge,9700,123843,116423,0.1974020004272461
quick,9700,82331,148077,0.1421678066253662
dual_quick,9700,76721,137749,0.15688204765319824
hybrid,9700,139918,138092,0.19319963455200195
insert,9700,23442304,23442298,26.637965202331543
merge,9700,123633,116482,0.1984250545501709
quick,9700,91452,152192,0.15155577659606934
dual_quick,9700,81128,132975,0.16071820259094238
hybrid,9700,139083,137289,0.19162297248840332
insert,9700,23470923,23470915,27.275124073028564
merge,9700,123897,116412,0.19884181022644043
quick,9700,83459,155448,0.1479356288909912
dual_quick,9700,80327,130106,0.15366578102111816
hybrid,9700,139825,138011,0.19153642654418945
insert,9700,23657230,23657223,27.14746403694153
merge,9700,123857,116382,0.19732904434204102
quick,9700,75536,150235,0.13892817497253418
dual_quick,9700,80167,129249,0.1550297737121582
hybrid,9700,140165,138333,0.19193768501281738
insert,9800,24143773,24143764,28.070058584213257
merge,9800,125200,117714,0.20068097114562988
quick,9800,87455,151791,0.14874672889709473
dual_quick,9800,89905,136821,0.1656935214996338
hybrid,9800,141415,139680,0.19205880165100098
insert,9800,24022759,24022749,27.395853996276855
merge,9800,125280,117753,0.20148777961730957
quick,9800,78435,145313,0.13968920707702637
dual_quick,9800,81460,136577,0.1586921215057373
hybrid,9800,141812,139989,0.1938772201538086
insert,9800,23753496,23753490,27.56736922264099
merge,9800,125273,117744,0.1934342384338379
quick,9800,72795,164401,0.14116930961608887
dual_quick,9800,83349,130865,0.15447473526000977
hybrid,9800,141472,139693,0.19181036949157715
insert,9800,24076657,24076647,27.607266426086426
merge,9800,125210,117760,0.1995387077331543
quick,9800,83436,155523,0.14682602882385254
dual_quick,9800,85095,135536,0.16060256958007812
hybrid,9800,141430,139603,0.1921710968017578
insert,9800,24197592,24197581,28.05785846710205
merge,9800,125281,118026,0.20111680030822754
quick,9800,87866,151486,0.14912915229797363
dual_quick,9800,77888,133347,0.15391206741333008
hybrid,9800,141369,139587,0.19474053382873535
insert,9900,24482554,24482540,27.914639234542847
merge,9900,126749,119192,0.20406699180603027
quick,9900,82354,151503,0.14561748504638672
dual_quick,9900,90269,137768,0.16260576248168945
hybrid,9900,143493,141616,0.19598913192749023
insert,9900,24692421,24692415,28.669408082962036
merge,9900,126727,119140,0.19351673126220703
quick,9900,91944,151666,0.1474776268005371
dual_quick,9900,82073,132387,0.1582043170928955
hybrid,9900,143077,141244,0.18863224983215332
insert,9900,24538414,24538408,28.138187646865845
merge,9900,126738,118924,0.20186829566955566
quick,9900,85668,162158,0.1534867286682129
dual_quick,9900,86557,133509,0.1577141284942627
hybrid,9900,143675,141818,0.19661998748779297
insert,9900,24687277,24687269,28.69132947921753
merge,9900,126725,119049,0.202223539352417
quick,9900,78680,147161,0.13978123664855957
dual_quick,9900,81381,130605,0.15443730354309082
hybrid,9900,143263,141423,0.1963808536529541
insert,9900,24492104,24492097,27.892349004745483
merge,9900,126619,118966,0.20553278923034668
quick,9900,73858,146900,0.13706350326538086
dual_quick,9900,87239,139789,0.16739606857299805
hybrid,9900,143322,141472,0.19409823417663574
insert,10000,25030383,25030375,29.00619864463806
merge,10000,128168,120484,0.20533323287963867
quick,10000,81979,160946,0.1493370532989502
dual_quick,10000,77577,134439,0.16027188301086426
hybrid,10000,145172,143388,0.1983931064605713
insert,10000,25142697,25142685,28.79807209968567
merge,10000,128128,120426,0.2046959400177002
quick,10000,83594,148394,0.14350223541259766
dual_quick,10000,87815,143354,0.16651606559753418
hybrid,10000,145474,143665,0.18649697303771973
